response.id,prog.prof,prog.comf,math.prof,math.comf,stat.prof,stat.comf,updv.num,dom,consent,PSTAT100,PSTAT120A-B,PSTAT122,PSTAT126,PSTAT131,PSTAT160A-B,CS9,CS16,PSTAT174,PSTAT175,PSTAT127,PSTAT134,PSTAT115,CS5A-B,ECON145,CS130A-B,CS165A-B,LING110,LING111,rsrch
1,Int,4,Adv,5,Int,4,8-Jun,No,Yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
2,Int,4,Int,4,Int,4,0-2,No,Yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,TRUE
3,Adv,5,Adv,5,Adv,5,9+,No,Yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,FALSE
5,Int,4,Adv,5,Adv,4,9+,Yes,Yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,FALSE
6,Beg,2,Int,4,Adv,5,8-Jun,No,Yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,FALSE
7,Adv,5,Adv,4,Adv,4,9+,Yes,Yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,TRUE
8,Adv,4,Int,4,Int,3,8-Jun,Unsure,Yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
9,Adv,5,Int,4,Adv,5,8-Jun,No,Yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,FALSE
10,Int,4,Adv,5,Adv,5,9+,No,Yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,FALSE
12,Adv,5,Adv,5,Adv,5,9+,Yes,Yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,FALSE
13,Int,5,Int,4,Adv,5,5-Mar,Unsure,Yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,TRUE
14,Adv,5,Adv,4,Adv,5,8-Jun,Yes,Yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,FALSE
16,Int,3,Adv,3,Int,3,8-Jun,No,Yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,FALSE
17,Int,3,Int,5,Int,4,5-Mar,No,Yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
18,Adv,3,Adv,4,Adv,3,9+,Yes,Yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,TRUE
19,Adv,5,Adv,5,Adv,5,9+,Yes,Yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,FALSE
20,Int,4,Int,3,Adv,5,9+,Unsure,Yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,FALSE
21,Int,4,Int,3,Int,4,9+,No,Yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,TRUE
22,Adv,4,Adv,4,Adv,5,9+,Yes,Yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,FALSE
23,Adv,4,Adv,4,Adv,4,9+,Unsure,Yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,FALSE
24,Int,4,Beg,2,Adv,5,9+,No,Yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,TRUE
25,Int,3,Adv,4,Adv,4,9+,No,Yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,FALSE
26,Adv,4,Adv,5,Adv,5,9+,Unsure,Yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,TRUE
27,Adv,5,Int,4,Adv,5,8-Jun,Yes,Yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,FALSE
28,Int,4,Adv,5,Adv,5,5-Mar,No,Yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
29,Adv,5,Int,3,Int,3,5-Mar,Yes,Yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,TRUE
30,Int,5,Adv,5,Adv,5,9+,No,Yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,FALSE
31,Adv,5,Adv,5,Adv,5,8-Jun,No,Yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,TRUE
32,Int,3,Int,3,Adv,4,8-Jun,Unsure,Yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,FALSE
33,Int,4,Int,3,Int,4,8-Jun,Yes,Yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,TRUE
34,Adv,4,Adv,5,Int,5,9+,No,Yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,TRUE
35,Int,4,Int,3,Adv,5,9+,No,Yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,FALSE
36,Int,3,Int,2,Int,2,8-Jun,No,Yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,TRUE
38,Int,2,Adv,5,Adv,5,8-Jun,No,Yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,FALSE
39,Int,4,Int,4,Int,3,9+,No,Yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,FALSE
40,Int,3,Int,3,Int,3,8-Jun,No,Yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
41,Adv,5,Adv,5,Adv,5,9+,No,Yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,FALSE
43,Int,5,Beg,1,Int,1,5-Mar,No,Yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,FALSE
44,Int,4,Int,4,Adv,5,8-Jun,No,Yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,FALSE
45,Int,3,Adv,4,Adv,5,8-Jun,No,Yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
47,Adv,4,Adv,4,Int,2,8-Jun,No,Yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
48,Int,5,Int,4,Int,5,9+,Unsure,Yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,TRUE
49,Adv,5,Int,4,Adv,4,8-Jun,Yes,Yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
50,Adv,3,Int,3,Int,4,9+,No,Yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,FALSE
51,Adv,5,Adv,4,Adv,4,9+,No,Yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,TRUE
52,Int,4,Adv,4,Adv,4,8-Jun,No,Yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,FALSE
53,Adv,5,Adv,3,Adv,4,9+,No,Yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,TRUE
54,Int,4,Adv,4,Adv,5,9+,No,Yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
56,Int,3,Adv,4,Int,3,9+,No,Yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,FALSE
57,Int,3,Int,3,Int,4,9+,No,Yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,TRUE
